appId,id,s,dataset_id,v1,v2,v3,v4,w0,w1,w2,w3,w4,y,ye_g,ye_s,ye_i,ye_l,RE(ye_g),RE(ye_s),RE(ye_i),RE(ye_l)
housingprice-kingcounty,11,0,712,1,1.02,7,115,589.8127389,2.449139894,-105.9222168,-5.841270872,0.2004085,483.6701608,508.9968437,512.7111356,518.6188641,466.379299,1.486307682,1.704282561,2.050980242,1.014721936
housingprice-kingcounty,12,0,731,2.5,1.44,7,12,383.0523737,1.280123111,-17.56038316,-3.653813851,0.709694963,326.5660764,244.9005945,308.1674025,276.0725711,343.9053723,4.792575228,1.079734382,2.96323388,1.017564315
housingprice-kingcounty,13,0,917,3,1.28,8,11,432.9590633,9.271550061,-29.10016625,2.434006593,-0.752204209,432.9584771,366.0764373,424.3580408,406.9982834,434.7233071,3.925002336,0.50472044,1.523485545,0.103569838
housingprice-kingcounty,14,0,1013,2.5,2.17,7,53,463.2858164,1.682682473,0.812253434,-3.998716237,0.272241248,433.4937941,497.4655688,455.531688,472.990562,455.692885,3.75421213,1.293303635,2.317885441,1.302763552
housingprice-kingcounty,15,0,1105,1,1.09,7,48,373.4402997,1.396231265,-23.93507175,-4.232793975,0.064842695,290.5764155,289.3646577,351.3863567,316.6955373,322.2301943,0.071112549,3.568658524,1.532812312,1.857616125
housingprice-kingcounty,16,0,1481,2.25,2.1,8,14,466.8397743,-0.274739745,-0.610860058,2.500525011,-1.132216484,456.062711,488.8720711,471.4900538,475.0550625,469.0919731,1.925431929,0.905360494,1.11457462,0.764628056
housingprice-kingcounty,17,0,1785,1.75,2.28,8,66,558.5679861,-8.370541313,7.156600328,4.366953002,0.950313343,675.0843365,686.5658101,603.5125802,641.2716799,657.8928922,0.673795399,4.200220443,1.984310832,1.008887578
housingprice-kingcounty,18,0,1794,2.25,2.49,8,34,550.292997,1.074361588,13.87633111,2.497389168,-0.866321361,548.5099615,617.258031,545.5089286,574.3304365,577.7865621,4.034511119,0.176116954,1.515286093,1.718110365
housingprice-kingcounty,19,0,1805,1.75,1.93,6,86,408.6608491,-0.029960897,-2.055417018,-14.37108834,0.715561128,371.5014992,420.8447604,389.3527155,397.3429483,379.9531897,2.895731289,1.047606592,1.516516966,0.495991224
housingprice-kingcounty,20,0,2030,2.5,1.608,8,3,426.5286799,1.566399306,-13.21117298,2.113332801,5.827507436,439.187211,380.1286842,417.2803389,400.4854835,443.5902967,3.465875984,1.28561456,2.271228137,0.25839705
housingprice-kingcounty,21,0,2087,2,1.82,8,21,459.2056934,-1.247966246,-8.547160662,2.339643013,-0.293190241,436.403363,465.8287265,467.2148565,463.8992229,453.7140775,1.726840579,1.808186237,1.613606804,1.015887003
housingprice-kingcounty,22,0,2214,1,1.15,7,56,346.2431946,36.14656554,-17.27437841,-4.811947865,0.39801762,293.2517058,326.041065,374.9515591,347.2939391,351.1295766,1.924258169,4.794592332,3.171492562,3.396588663
housingprice-kingcounty,23,0,2470,1.75,2,7,36,431.3080033,-1.258821476,-4.023099795,-2.81813317,-0.165880808,367.3063089,400.1378887,390.8801542,384.8235431,395.3602249,1.926735903,1.383441628,1.028006703,1.64635657
housingprice-kingcounty,24,0,2501,1.75,1.97,7,107,623.7531445,-7.843641498,-5.035455853,-7.768601159,0.276875705,576.8488519,639.6372343,564.6169455,602.9952112,575.3524162,3.684764224,0.71783488,1.534410759,0.087818998
housingprice-kingcounty,25,0,2535,2,1.6,7,65,477.2841963,-0.495558903,-3.413889795,-7.738362831,0.51930947,463.7279615,442.9742557,441.4046984,443.5038526,450.4174306,1.21794048,1.310050653,1.18686085,0.781134444
housingprice-kingcounty,26,0,2578,2.5,1.502,7,10,406.5352204,-1.307636202,-12.53341733,-4.305143292,0.090839271,329.4595529,247.5044531,307.1225682,275.7313517,355.2133267,4.809571584,1.310855911,3.153063449,1.511371703
housingprice-kingcounty,27,0,2684,1,1.52,6,62,389.5711056,4.275379768,-23.51413867,-6.824981933,0.188137079,314.293386,262.7573007,292.2801696,264.6059454,328.8196019,3.02441815,1.291855421,2.915929615,0.852477457
housingprice-kingcounty,28,0,2738,2.5,1.79,7,22,405.7262508,0.949771474,-8.880978542,-2.691399203,-0.559021916,332.6061339,332.7923909,354.9327135,340.4219343,361.0654513,0.010930576,1.310245284,0.458673732,1.670147737
housingprice-kingcounty,29,0,2817,1,0.96,6,82,401.1952104,-6.057771538,-53.7627431,-9.707299126,0.374242936,278.7231219,245.8924501,306.5049804,273.7129814,315.9693315,1.926682616,1.630390759,0.294022332,2.18581042
housingprice-kingcounty,30,0,2968,1.75,1.72,8,72,572.1371769,-4.859622684,-15.88857386,3.550882877,0.95096656,632.8666139,621.5712836,583.1071044,606.797487,633.1811455,0.662871495,2.920159011,1.529878337,0.018458429
housingprice-kingcounty,31,0,3004,2.25,1.77,7,37,422.3155679,0.534701577,-11.37728868,-3.352244658,-0.16362773,364.8512855,377.0045716,386.8109426,378.8473045,373.8609069,0.713221017,1.288712271,0.821362616,0.528733648
housingprice-kingcounty,32,0,3026,2.5,2.15,7,39,427.0376182,-1.566306339,0.656304345,-1.131127195,-0.147003826,401.4054427,446.2779811,419.642579,427.5110523,410.8818671,2.633364932,1.07025448,1.532019345,0.556128194
housingprice-kingcounty,33,0,3035,2,1.43,7,23,378.0408444,-0.542697957,-16.0140903,-3.424429237,0.11039597,315.3570474,272.5929778,326.8138482,296.6247792,332.623402,2.509628495,0.672347463,1.099311516,1.013283722
housingprice-kingcounty,34,0,3036,2.75,2.24,8,39,498.7990169,6.409613853,2.305231191,3.801446917,-0.334082441,528.0080762,604.8181381,550.0752622,578.9076968,538.971533,4.50763274,1.295022651,2.987066934,0.643395352
housingprice-kingcounty,35,0,3252,2.25,1.51,7,28,390.7632366,-0.234156522,-16.77356072,-2.076873593,-0.165697435,328.4641738,306.3112123,348.1839243,326.1531498,345.7306644,1.300056425,1.157262353,0.135623475,1.013291703
housingprice-kingcounty,36,0,3311,2.5,2.1,8,30,491.9011958,3.381371792,-0.886148493,2.774659406,-0.665973825,483.3893577,548.1748322,515.0343513,531.2327041,500.7117739,3.801964468,1.85710056,2.80770812,1.016573723
housingprice-kingcounty,37,0,3336,2.5,2.3,8,85,737.0181535,-0.108345725,4.879905539,3.348136122,0.059871576,747.3906721,767.8348197,663.6701298,721.4274827,779.8452448,1.19977392,4.913177368,1.523661352,1.904611075
housingprice-kingcounty,38,0,3413,1.75,2,6,69,422.7644725,-3.477204855,-3.495297711,-7.865447313,0.043737013,340.3468197,373.1042738,351.7075316,351.0668675,365.5139386,1.922385806,0.666708446,0.629110784,1.476943599
housingprice-kingcounty,39,0,3422,2.5,2.16,7,12,413.5390064,2.243462338,0.874330778,-1.650288766,-0.679029464,384.0924474,354.9854193,353.4850089,344.4106799,401.3358418,1.708158925,1.796211178,2.328742225,1.011936291
housingprice-kingcounty,40,0,3456,1.75,1.45,7,53,411.5421868,-2.442492261,-20.53328274,-4.203382107,0.291768549,341.6030553,374.488492,398.3136005,385.5408848,363.5346237,1.929896521,3.328083641,2.578511118,1.287063875
housingprice-kingcounty,41,0,3521,3.25,2.12,7,32,425.7161263,4.557448144,-0.213630182,-4.019744394,-0.068396388,396.1381986,430.5185275,412.3396832,421.9845852,409.7480416,2.017624936,0.950791352,1.516806722,0.798699707
housingprice-kingcounty,42,0,3661,2.25,1.41,7,28,385.2215407,-0.050488179,-24.74626192,-2.371198645,-0.115354395,313.2212928,291.0216533,341.8898123,316.6617458,330.3873994,1.302795744,1.682424853,0.201904518,1.007400624
housingprice-kingcounty,43,0,3709,1.75,1.63,7,32,403.941424,-1.31093078,-15.03613759,-2.822729004,-0.147081954,363.124012,329.8151844,357.6975722,337.2535686,352.6726653,1.954743403,0.318453038,1.518218508,0.613341943
housingprice-kingcounty,44,0,3801,2.5,1.78,7,29,430.6775556,-0.379547405,-13.6121737,-3.386084746,-0.510175862,335.2299103,355.3282729,371.6184456,361.2634083,367.0013247,1.179481376,2.135477426,1.527787443,1.864519624
housingprice-kingcounty,45,0,3816,2,1.56,7,91,557.1112134,-0.457241347,-21.94576846,-6.416068393,0.574297048,546.81119,526.2421159,503.200443,520.6438589,529.3098845,1.20710529,2.55931614,1.535641495,1.027071917
housingprice-kingcounty,46,0,3840,1,1.68,7,94,491.3083544,40.63265354,-11.74690584,-7.935242136,0.736932181,543.2089463,537.7134193,502.3068449,515.8902872,525.9311362,0.322507452,2.400358061,1.603207693,1.013955992
housingprice-kingcounty,47,0,3873,2.25,1.41,7,11,367.6787526,0.078845978,-12.50205589,-3.223186488,0.757093216,322.1400108,232.5784755,299.83875,263.7416822,335.9939772,5.255958645,1.308759437,3.427131963,0.813026198
housingprice-kingcounty,48,0,3985,1.5,1.55,7,61,433.2261794,4.202883416,-18.8275066,-4.978872208,0.43725886,384.8709311,412.9833056,420.4296207,413.5653253,402.1685543,1.649787236,2.086777559,1.683943321,1.015118732
housingprice-kingcounty,49,0,4234,2.25,1.4,8,6,416.1575437,0.32963504,-15.16352534,2.357562752,1.086375072,429.8926244,354.3424862,407.6425346,383.7116752,421.0490395,4.433693559,1.305756443,2.710149603,0.518989723
housingprice-kingcounty,50,0,4318,1.75,1.25,7,68,453.514473,2.290198502,-27.34215022,-6.097476123,0.445848898,428.1422605,395.4768839,422.829255,413.2522506,410.9800248,1.916982197,0.311796095,0.873826875,1.007173457
housingprice-kingcounty,51,1,59,2.5,2.79,9,16,553.1817082,4.838635868,14.94089554,11.68882075,-2.382073792,645.1814171,746.02525,660.8575778,698.7507097,674.0496025,5.918065311,0.919962485,3.143737825,1.694142336
housingprice-kingcounty,52,1,66,2.5,3.08,7,30,500.4051583,1.987534802,16.16439062,-4.13565612,-0.478270554,486.0562413,557.5303739,481.7856788,535.8273626,511.862609,4.194491352,0.250619864,2.920840452,1.514458196
housingprice-kingcounty,53,1,326,3,2.89,7,70,524.5706032,5.693288557,34.10696154,-4.970526357,0.785778683,609.3322377,674.5884061,658.923137,662.701356,660.430411,3.829587347,2.910264041,3.131990511,2.998719092
housingprice-kingcounty,54,1,449,2.5,2.54,9,75,757.2623585,1.240363547,23.37482809,17.65982279,0.608606202,1056.746141,910.6335579,887.1385193,873.2753942,1024.319201,8.574682107,9.953498929,10.76706261,1.902989439
housingprice-kingcounty,55,1,532,3.25,4.03,11,27,620.483414,4.418239151,97.96235548,32.45980789,-2.660669585,1347.273013,1267.288481,1374.391921,1307.961648,1314.850792,4.693927964,1.591485203,2.307005015,1.902712511
housingprice-kingcounty,56,1,587,2,2.73,7,53,491.2856029,-1.005984132,10.80867646,-4.376840624,0.232716495,483.4749233,574.4922645,480.2491884,536.4128239,500.4774112,5.341393265,0.189303693,3.106684306,0.997798587
housingprice-kingcounty,57,1,627,1.75,2.77,8,39,540.9565533,2.051099929,18.42624107,4.259664084,-0.450639711,597.164735,668.6631315,566.1550099,624.1870547,612.0890299,4.195915285,1.819819549,1.585816881,0.875838902
housingprice-kingcounty,58,1,798,2.5,3.305,7,93,630.4395638,8.461419968,36.40085512,-7.916619072,0.369706257,775.431604,808.5154231,842.356249,828.2982812,750.8642883,1.941538677,3.927502638,3.102504529,1.44174388
housingprice-kingcounty,59,1,837,2.5,2.84,9,13,579.2354786,5.47068359,12.34924954,9.544296642,-1.354132072,644.7952133,743.3565275,658.3676779,697.919671,696.2790091,5.784114684,0.796506137,3.117632493,3.021349519
housingprice-kingcounty,60,1,993,3,3.69,10,17,511.9519419,22.02270287,57.82876617,26.46942355,-2.066216386,988.8597361,1036.146086,1070.628267,1049.572348,1020.976755,2.775020543,4.798622726,3.562946719,1.884801556
housingprice-kingcounty,61,1,1030,4.25,4.48,7,12,542.3734229,9.352502668,8.408823456,-3.584868041,0.458201928,568.0086134,739.7851094,833.2145463,813.5280868,600.1974352,10.08078028,15.56372846,14.4084198,1.889015362
housingprice-kingcounty,62,1,1045,2.5,3.31,9,10,610.1790483,4.357275407,14.6318006,10.10264966,0.207671586,733.9918912,804.9039529,757.4297165,787.6831615,762.5040596,4.161505965,1.375459232,3.150896145,1.67324932
housingprice-kingcounty,63,1,1113,2.5,3.22,9,11,515.3799986,1.293882798,33.26778634,11.84305836,-1.465069098,723.5023055,794.5811837,740.5283923,772.142082,716.2087428,4.171295671,0.999183497,2.854446977,0.428025982
housingprice-kingcounty,64,1,1551,3.5,3.93,12,16,818.2741302,-2.150093322,90.9423487,20.02036946,2.539750225,1519.216722,1358.962301,1469.711914,1390.129681,1449.032671,9.404602146,2.905211745,7.575530587,4.118782331
housingprice-kingcounty,65,1,1556,2.75,3.08,9,1,433.4831215,14.73261778,25.63619853,18.41857214,41.28288155,722.8351591,743.0948786,672.4223918,709.7115053,760.0073427,1.188950673,2.958495733,0.770167477,2.181466172
housingprice-kingcounty,66,1,1600,2.75,2.61,8,105,712.3223237,2.235359802,10.96437912,3.249965231,0.648142926,855.9857561,888.2865497,905.5865219,871.1808442,841.1413217,1.89558648,2.910843062,0.891730523,0.871152251
housingprice-kingcounty,67,1,1690,2.5,2.72,8,30,540.7684958,-2.587668214,15.18731128,2.121840294,-0.940379968,571.9477571,642.970098,553.3553458,598.0175025,564.3721353,4.167977755,1.091103949,1.529914634,0.444578746
housingprice-kingcounty,68,1,1913,1.75,2.5,8,59,540.7362224,-3.725727457,13.36416135,3.966016046,0.619392225,625.1790525,696.138002,598.0677306,643.3883923,635.8988724,4.164257598,1.591040018,1.068623225,0.629097411
housingprice-kingcounty,69,1,1926,2.5,2.86,9,25,487.3664641,6.866098984,18.26146214,16.01453599,-0.825513358,648.0298612,787.6684472,721.5211504,748.6981029,680.2524832,8.1947527,4.312869082,5.907760661,1.890998945
housingprice-kingcounty,70,1,2038,2.75,2.91,7,17,488.6608994,2.369773328,9.040510538,-2.307677241,-0.531877215,463.7832132,491.1436991,391.846552,455.3096464,496.2900084,1.605662318,4.221635049,0.497275045,1.907675773
housingprice-kingcounty,71,1,2111,2.5,2.86,8,20,517.6223441,2.270926542,15.38798163,2.717983927,-1.137314373,559.4446993,629.9971407,538.6079371,589.49534,566.3068719,4.140401493,1.222814682,1.76353525,0.402709658
housingprice-kingcounty,72,1,2123,3,2.69,8,61,621.7511158,15.90428284,20.45074695,3.998212207,0.359487005,777.2697804,753.5509187,725.4410073,724.5553925,778.3908786,1.391951978,3.041594664,3.093567368,0.065792146
housingprice-kingcounty,73,1,2164,1.75,3.02,8,23,521.4283117,1.608056977,22.48392076,2.974793443,-0.692477217,563.6219381,651.8816851,548.8457046,616.1598274,600.0152237,5.179562619,0.867149856,3.083209467,2.135756194
housingprice-kingcounty,74,1,2210,3.5,3.63,9,1,592.7504641,22.37892779,4.077972309,17.58482656,78.86774461,898.2220926,840.0797051,848.4351752,847.8110141,923.0109345,3.412111945,2.921767456,2.958396625,1.454744243
housingprice-kingcounty,75,1,2227,3,2.78,9,2,442.127298,29.82300665,19.62242726,11.57353786,16.88120815,668.8165658,704.9614529,619.0877989,655.3610998,724.0709228,2.12117882,2.918354864,0.789640024,3.242626583
housingprice-kingcounty,76,1,2376,2.5,3.37,9,10,631.6916031,3.456651057,17.90795374,7.856503271,-0.225240228,736.7096345,814.0776883,771.9371363,800.6252371,769.139162,4.540378741,2.067341655,3.750915646,1.903141286
housingprice-kingcounty,77,1,2385,2.75,2.76,7,36,482.6835707,3.630587775,8.551458428,-2.783759922,-0.321216034,452.8887477,533.5282064,447.9143068,496.5231014,485.2196157,4.7323626,0.291927284,2.560701505,1.897351406
housingprice-kingcounty,78,1,2746,2.25,2.51,8,37,546.420305,0.48649438,8.794240066,3.440598149,-0.522431529,545.5235522,630.6294447,522.2553143,573.3365365,577.7832785,4.994477262,1.365506917,1.632217388,1.893176429
housingprice-kingcounty,79,1,2831,2.75,4.27,11,19,742.8160221,-3.274484672,99.25695894,25.40995866,-1.699235975,1368.885241,1267.885916,1364.857755,1315.777802,1404.862466,5.927190463,0.236354818,3.116633767,2.111339475
housingprice-kingcounty,80,1,2876,2.25,3.05,9,27,531.0638044,1.427874206,38.61090412,16.09333275,-2.276066407,703.2859336,819.29686,762.8382234,790.9374714,735.4259807,6.808152955,3.494852689,5.143869591,1.886152998
housingprice-kingcounty,81,1,2914,2.5,3.23,9,11,551.2043797,1.14590288,31.36257881,10.61297727,-0.772983898,725.2770704,796.1101396,742.9462956,774.2990946,742.384239,4.156870261,1.036926361,2.876879354,1.00394182
housingprice-kingcounty,82,1,3156,2.75,2.79,8,1,494.7867648,-2.658495951,14.60081215,2.137889834,-2.886842256,560.2311988,558.273021,443.6890103,507.3155465,542.4284433,0.11491654,6.83933031,3.105378659,1.04476265
housingprice-kingcounty,83,1,3162,2.5,2.84,8,14,503.5532169,-0.158947071,21.05615998,2.446955781,-0.933219823,554.5987772,606.312225,504.6132976,561.9491114,569.4659123,3.034826749,2.933420166,0.431357642,0.872484454
housingprice-kingcounty,84,1,3232,2.5,2.64,8,16,524.8518654,0.792589368,11.18799641,1.910504661,-1.946619802,511.0010006,582.608775,465.9748426,526.5529272,540.5077698,4.202334177,2.642380167,0.912671749,1.731617911
housingprice-kingcounty,85,1,3255,3.25,3.41,9,23,641.3908661,5.214902261,23.51355791,14.54159611,-1.727287827,806.0989936,877.7776057,887.8143227,879.0535439,829.6672759,4.206491321,4.795500535,4.281370322,1.383115158
housingprice-kingcounty,86,1,3397,2.5,2.64,8,16,482.3851522,-0.095159256,12.54676273,2.117725862,0.292479319,511.0010006,582.608775,465.9748426,526.5529272,536.8921837,4.202334177,2.642380167,0.912671749,1.519435626
housingprice-kingcounty,87,1,3503,2.5,3.236,10,10,663.8723121,9.448352597,19.00818592,11.78997646,-1.04166751,824.1175182,934.0718157,898.1514179,911.5638617,856.4867727,6.45271699,4.344712422,5.131827671,1.899604139
housingprice-kingcounty,88,1,3711,3.5,2.77,9,13,583.469488,8.03525614,6.324260027,15.12939641,-0.878754088,721.4679079,749.8435055,698.8131572,708.7723372,753.8518493,1.665234603,1.329504148,0.74504523,1.900466045
housingprice-kingcounty,89,1,3739,2.75,2.89,8,39,561.8636059,12.62217536,10.64469749,3.660333222,-0.406146329,603.9624641,704.2002716,652.5406519,676.0229603,640.7807228,5.882500439,2.85083262,4.228902357,2.160695934
housingprice-kingcounty,90,1,3825,2.5,2.99,9,2,535.8008871,0.764576832,33.87933694,7.714485495,8.457445441,690.6984637,728.4746921,641.178367,687.6824872,725.356807,2.216914814,2.906108962,0.176993927,2.033940333
housingprice-kingcounty,91,1,3865,3.5,2.85,7,89,669.9009052,-0.213287611,20.3023634,-11.75052158,0.413966033,671.7585504,742.386263,770.2732293,740.6178267,681.6054601,4.144818812,5.781377869,4.041037343,0.577870289
housingprice-kingcounty,92,1,3888,3,2.78,9,2,433.3586135,12.32343757,22.46969239,15.24260265,20.40290309,668.8165658,704.9614529,619.0877989,655.3610998,710.7839011,2.12117882,2.918354864,0.789640024,2.462871789
housingprice-kingcounty,93,1,3925,2,2.88,8,94,782.5024246,-0.437520141,18.18071747,3.779387409,-0.034314674,920.7234339,878.8599331,874.3839488,867.3639958,860.9973705,2.456778214,2.719453354,3.131422423,3.505050668
housingprice-kingcounty,94,1,3930,2.5,2.82,9,2,532.988078,2.868944224,14.68615336,11.07406649,-0.696324709,649.2882045,702.4824418,600.0740109,651.013273,679.84934,3.121727543,2.888156902,0.101236413,1.793493869
housingprice-kingcounty,95,1,4044,4.75,5.18,11,14,793.3431351,68.53704292,40.03713033,24.61039313,13.51516956,1625.183912,1424.211071,1675.329533,1544.609288,1786.213122,11.7941808,2.942818114,4.728557771,9.45007103
housingprice-kingcounty,96,1,4051,2.5,3.17,9,15,554.1279573,3.891662023,25.4990888,13.25674589,-1.080787767,715.5046482,800.6877402,747.8780978,776.8451546,747.7881204,4.999007747,1.899850326,3.599794974,1.894569962
housingprice-kingcounty,97,1,4098,3,3.11,8,8,471.1762223,5.682189348,26.40058434,3.225175476,0.828569994,564.400973,635.561865,569.423255,609.9321255,602.7585714,4.176108687,0.294734857,2.672015991,2.25103277
housingprice-kingcounty,98,1,4102,3.5,4.74,11,12,289.4145673,35.13584864,118.6468615,37.2496617,16.70300726,1538.01887,1328.574257,1487.508673,1409.516972,1584.958527,12.29135054,2.964213415,7.541191174,2.754674699
housingprice-kingcounty,99,1,4105,2.5,2.53,7,55,504.5364301,2.806973735,12.03571445,-7.234967019,0.469315482,460.3673371,559.3836492,470.2961346,513.9925169,517.1718044,5.810816437,0.582675908,3.147017591,3.333595498
housingprice-kingcounty,100,1,4114,3,5.94,11,11,327.9457884,-6.25328479,76.59698851,93.72791009,6.411166843,1703.791809,1500.016296,1744.111863,1651.510573,1865.701892,11.95865685,2.366200335,3.068147635,9.501765437
